tau;amplitude;tau cumulant fit;amplitude cumulant fit;tau size distribution fit;amplitude size distribution fit
2E-07;1.313006;2E-07;1.311311;2E-07;1.314062
2.25E-07;1.311911;2.25E-07;1.309675;2.25E-07;1.311937
2.5E-07;1.311398;2.5E-07;1.30805;2.5E-07;1.30988
2.75E-07;1.3106;2.75E-07;1.306435;2.75E-07;1.307882
3E-07;1.303513;3E-07;1.30483;3E-07;1.305941
3.25E-07;1.302316;3.25E-07;1.303235;3.25E-07;1.30405
3.5E-07;1.303092;3.5E-07;1.301651;3.5E-07;1.302205
3.75E-07;1.300127;3.75E-07;1.300076;3.75E-07;1.300402
3.75E-07;1.300473;3.75E-07;1.300076;3.75E-07;1.300402
4E-07;1.298428;4E-07;1.298511;4E-07;1.298638
4.25E-07;1.298566;4.25E-07;1.296955;4.25E-07;1.296911
4.75E-07;1.294571;4.75E-07;1.293874;4.75E-07;1.293551
5.25E-07;1.290042;5.25E-07;1.290831;5.25E-07;1.290304
5.75E-07;1.287375;5.75E-07;1.287826;5.75E-07;1.287155
6.25E-07;1.285008;6.25E-07;1.284858;6.25E-07;1.284089
6.75E-07;1.280706;6.75E-07;1.281927;6.75E-07;1.281098
7.25E-07;1.276767;7.25E-07;1.279032;7.25E-07;1.278173
7.75E-07;1.272625;7.75E-07;1.276173;7.75E-07;1.275306
8.25E-07;1.269557;8.25E-07;1.273349;8.25E-07;1.272493
8.75E-07;1.269043;8.75E-07;1.270561;8.75E-07;1.269728
9.25E-07;1.266937;9.25E-07;1.267806;9.25E-07;1.267009
9.75E-07;1.264772;9.75E-07;1.265085;9.75E-07;1.26433
1.025E-06;1.260418;1.025E-06;1.262398;1.025E-06;1.261691
1.075E-06;1.254345;1.075E-06;1.259743;1.075E-06;1.259089
1.125E-06;1.255177;1.125E-06;1.257121;1.125E-06;1.256522
1.15E-06;1.253976;1.15E-06;1.255822;1.15E-06;1.255251
1.25E-06;1.252525;1.25E-06;1.250705;1.25E-06;1.250249
1.35E-06;1.247295;1.35E-06;1.245712;1.35E-06;1.245369
1.45E-06;1.241546;1.45E-06;1.240839;1.45E-06;1.240605
1.55E-06;1.2372;1.55E-06;1.236084;1.55E-06;1.235952
1.65E-06;1.231508;1.65E-06;1.231442;1.65E-06;1.231406
1.75E-06;1.227109;1.75E-06;1.226911;1.75E-06;1.226962
1.85E-06;1.223578;1.85E-06;1.222489;1.85E-06;1.222618
1.95E-06;1.218481;1.95E-06;1.218171;1.95E-06;1.218371
2.05E-06;1.214401;2.05E-06;1.213955;2.05E-06;1.214217
2.15E-06;1.209193;2.15E-06;1.209839;2.15E-06;1.210156
2.25E-06;1.205508;2.25E-06;1.20582;2.25E-06;1.206184
2.35E-06;1.20431;2.35E-06;1.201895;2.35E-06;1.202299
2.45E-06;1.199724;2.45E-06;1.198061;2.45E-06;1.198499
2.55E-06;1.194373;2.55E-06;1.194317;2.55E-06;1.194782
2.65E-06;1.192536;2.65E-06;1.19066;2.65E-06;1.191146
2.7E-06;1.189381;2.7E-06;1.188864;2.7E-06;1.189357
2.9E-06;1.181548;2.9E-06;1.181883;2.9E-06;1.182397
3.1E-06;1.175655;3.1E-06;1.175219;3.1E-06;1.175735
3.3E-06;1.170807;3.3E-06;1.168855;3.3E-06;1.169356
3.5E-06;1.163143;3.5E-06;1.162776;3.5E-06;1.163248
3.7E-06;1.155286;3.7E-06;1.156968;3.7E-06;1.157398
3.9E-06;1.151936;3.9E-06;1.151415;3.9E-06;1.151794
4.1E-06;1.147276;4.1E-06;1.146106;4.1E-06;1.146426
4.3E-06;1.140109;4.3E-06;1.141029;4.3E-06;1.141281
4.5E-06;1.136291;4.5E-06;1.13617;4.5E-06;1.13635
4.7E-06;1.132985;4.7E-06;1.13152;4.7E-06;1.131623
4.9E-06;1.127431;4.9E-06;1.127068;4.9E-06;1.127091
5.1E-06;1.123076;5.1E-06;1.122804;5.1E-06;1.122745
5.3E-06;1.120483;5.3E-06;1.118719;5.3E-06;1.118577
5.5E-06;1.115967;5.5E-06;1.114804;5.5E-06;1.114578
5.7E-06;1.110448;5.7E-06;1.111051;5.7E-06;1.110741
5.8E-06;1.109369;5.8E-06;1.109233;5.8E-06;1.108881
6.2E-06;1.102361;6.2E-06;1.102325;6.2E-06;1.101811
6.6E-06;1.096024;6.6E-06;1.095962;6.6E-06;1.095295
7E-06;1.089983;7E-06;1.090092;7E-06;1.089283
7.4E-06;1.08385;7.4E-06;1.084671;7.4E-06;1.083734
7.8E-06;1.078089;7.8E-06;1.079656;7.8E-06;1.078607
8.2E-06;1.073504;8.2E-06;1.075013;8.2E-06;1.073868
8.6E-06;1.069895;8.6E-06;1.070707;8.6E-06;1.069483
9E-06;1.066022;9E-06;1.066709;9E-06;1.065423
9.4E-06;1.062105;9.4E-06;1.062992;9.4E-06;1.061661
9.8E-06;1.058314;9.8E-06;1.059532;9.8E-06;1.058173
1.02E-05;1.055091;1.02E-05;1.056308;1.02E-05;1.054937
1.06E-05;1.052117;1.06E-05;1.053299;1.06E-05;1.051931
1.1E-05;1.049085;1.1E-05;1.050488;1.1E-05;1.049139
1.14E-05;1.046912;1.14E-05;1.047859;1.14E-05;1.046541
1.18E-05;1.044174;1.18E-05;1.045397;1.18E-05;1.044124
1.2E-05;1.042705;1.2E-05;1.044225;1.2E-05;1.042979
1.28E-05;1.038252;1.28E-05;1.03989;1.28E-05;1.038779
1.36E-05;1.034872;1.36E-05;1.036061;1.36E-05;1.035123
1.44E-05;1.031349;1.44E-05;1.032665;1.44E-05;1.031932
1.52E-05;1.029019;1.52E-05;1.029642;1.52E-05;1.029137
1.6E-05;1.026552;1.6E-05;1.026942;1.6E-05;1.026682
1.68E-05;1.024348;1.68E-05;1.024522;1.68E-05;1.024521
1.76E-05;1.022914;1.76E-05;1.022349;1.76E-05;1.022612
1.84E-05;1.021106;1.84E-05;1.020391;1.84E-05;1.020921
1.92E-05;1.019867;1.92E-05;1.018624;1.92E-05;1.019419
2E-05;1.018245;2E-05;1.017026;2E-05;1.018082
2.08E-05;1.016662;2.08E-05;1.015578;2.08E-05;1.016888
2.16E-05;1.015232;2.16E-05;1.014265;2.16E-05;1.015818
2.24E-05;1.013766;2.24E-05;1.013072;2.24E-05;1.014858
2.32E-05;1.013326;2.32E-05;1.011988;2.32E-05;1.013994
2.4E-05;1.012503;2.4E-05;1.011001;2.4E-05;1.013214
2.44E-05;1.012098;2.44E-05;1.010542;2.44E-05;1.012852
2.6E-05;1.01083;2.6E-05;1.008905;2.6E-05;1.01157
2.76E-05;1.0099;2.76E-05;1.007547;2.76E-05;1.010507
2.92E-05;1.009142;2.92E-05;1.00642;2.92E-05;1.009617
3.08E-05;1.008683;3.08E-05;1.005487;3.08E-05;1.008866
3.24E-05;1.008049;3.24E-05;1.004715;3.24E-05;1.008226
3.4E-05;1.007423;3.4E-05;1.004077;3.4E-05;1.007675
3.56E-05;1.007196;3.56E-05;1.003552;3.56E-05;1.007197
3.72E-05;1.006931;3.72E-05;1.00312;3.72E-05;1.00678
3.88E-05;1.006386;3.88E-05;1.002767;3.88E-05;1.006413
4.04E-05;1.006302;4.04E-05;1.002478;4.04E-05;1.006087
4.2E-05;1.006087;4.2E-05;1.002243;4.2E-05;1.005795
4.36E-05;1.005799;4.36E-05;1.002052;4.36E-05;1.005534
4.52E-05;1.005405;4.52E-05;1.001898;4.52E-05;1.005297
4.68E-05;1.004865;4.68E-05;1.001773;4.68E-05;1.005081
4.84E-05;1.004897;4.84E-05;1.001673;4.84E-05;1.004884
4.92E-05;1.005012;4.92E-05;1.001631;4.92E-05;1.004792
5.24E-05;1.005288;5.24E-05;1.001501;5.24E-05;1.004457
5.56E-05;1.005291;5.56E-05;1.001419;5.56E-05;1.004168
5.88E-05;1.004558;5.88E-05;1.001367;5.88E-05;1.003915
6.2E-05;1.004027;6.2E-05;1.001335;6.2E-05;1.003692
6.52E-05;1.004095;6.52E-05;1.001315;6.52E-05;1.003492
6.84E-05;1.003991;6.84E-05;1.001303;6.84E-05;1.003312
7.16E-05;1.003622;7.16E-05;1.001296;7.16E-05;1.003149
7.48E-05;1.003261;7.48E-05;1.001292;7.48E-05;1.003001
7.8E-05;1.003105;7.8E-05;1.001289;7.8E-05;1.002865
8.12E-05;1.002931;8.12E-05;1.001287;8.12E-05;1.002741
8.44E-05;1.002403;8.44E-05;1.001286;8.44E-05;1.002627
8.76E-05;1.002113;8.76E-05;1.001286;8.76E-05;1.002522
9.08E-05;1.001534;9.08E-05;1.001286;9.08E-05;1.002424
9.4E-05;1.001278;9.4E-05;1.001285;9.4E-05;1.002335
9.72E-05;1.001478;9.72E-05;1.001285;9.72E-05;1.002252
9.88E-05;1.001669;9.88E-05;1.001285;9.88E-05;1.002212
0.0001052;1.001971;0.0001052;1.001285;0.0001052;1.00207
0.0001116;1.002082;0.0001116;1.001285;0.0001116;1.001947
0.000118;1.002266;0.000118;1.001285;0.000118;1.001841
0.0001244;1.001873;0.0001244;1.001285;0.0001244;1.00175
0.0001308;1.00145;0.0001308;1.001285;0.0001308;1.001671
0.0001372;1.001342;0.0001372;1.001285;0.0001372;1.001603
0.0001436;1.001257;0.0001436;1.001285;0.0001436;1.001544
