Time for Cap.1 (min);Ratio 350 nm / 330 nm for Cap.1 ;Time for Cap.1 (min);Turbidity for Cap.1 ;Time for Cap.1 (min);Cumulant Radius for Cap.1 (nm);Time for Cap.2 (min);Ratio 350 nm / 330 nm for Cap.2 ;Time for Cap.2 (min);Turbidity for Cap.2 ;Time for Cap.2 (min);Cumulant Radius for Cap.2 (nm);Time for Cap.3 (min);Ratio 350 nm / 330 nm for Cap.3 ;Time for Cap.3 (min);Turbidity for Cap.3 ;Time for Cap.3 (min);Cumulant Radius for Cap.3 (nm);Time for Cap.4 (min);Ratio 350 nm / 330 nm for Cap.4 ;Time for Cap.4 (min);Turbidity for Cap.4 ;Time for Cap.4 (min);Cumulant Radius for Cap.4 (nm);Time for Cap.5 (min);Ratio 350 nm / 330 nm for Cap.5 ;Time for Cap.5 (min);Turbidity for Cap.5 ;Time for Cap.5 (min);Cumulant Radius for Cap.5 (nm);Time for Cap.6 (min);Ratio 350 nm / 330 nm for Cap.6 ;Time for Cap.6 (min);Turbidity for Cap.6 ;Time for Cap.6 (min);Cumulant Radius for Cap.6 (nm);Time for Cap.7 (min);Ratio 350 nm / 330 nm for Cap.7 ;Time for Cap.7 (min);Turbidity for Cap.7 ;Time for Cap.7 (min);Cumulant Radius for Cap.7 (nm)
0.7020353;0.2553323;0.7020353;83.85928;1.085369;4.346314;0.6853687;0.2535243;0.6853687;83.75372;1.185369;3.673358;0.6853687;0.2715099;0.6853687;82.05627;1.002035;1.677651;0.6853687;1.549062;0.6853687;101.1037;11.23537;817.168;0.6853687;1.074167;0.6853687;88.87823;0.9020354;36.58077;0.6853687;0.9852474;0.6853687;86.93737;1.368702;39.25304;0.6853687;1.400014;0.6853687;89.60609;0.818702;56.05572
1.352035;0.2563775;1.352035;83.95374;11.05204;3.893841;1.352035;0.2537854;1.352035;83.74969;11.15204;3.665611;1.368702;0.2693439;1.368702;82.21096;10.9687;3.615411;1.368702;1.547244;1.368702;101.1975;21.25204;671.4847;1.368702;1.075646;1.368702;88.97443;10.8687;36.35812;1.385369;0.9849044;1.385369;87.15844;11.33537;40.2735;1.385369;1.400793;1.385369;89.74107;10.78537;61.83691
10.6687;0.2560814;10.6687;83.83644;21.05203;3.707244;10.6687;0.2535368;10.6687;83.5683;21.15203;4.456699;10.6687;0.2698254;10.6687;82.03519;20.9687;6.072024;10.65204;1.552147;10.65204;101.2407;31.25204;1086.81;10.65204;1.074996;10.65204;88.91164;20.8687;37.71719;10.65204;0.9868683;10.65204;87.34097;21.33537;42.57549;10.65204;1.398656;10.65204;89.62909;20.78537;62.60659
11.3187;0.2558803;11.3187;83.93003;31.05203;4.119967;11.3187;0.2529595;11.3187;83.70436;31.15203;5.134806;11.33537;0.2702821;11.33537;82.19059;30.9687;3.87363;11.33537;1.550831;11.33537;101.2926;41.25203;919.0446;11.33537;1.075118;11.33537;89.02785;30.88537;36.38146;11.35204;0.9883136;11.35204;87.48739;31.33537;42.89833;11.35204;1.39986;11.35204;89.6798;30.78537;63.02692
20.6687;0.2551705;20.6687;83.89227;41.0687;4.180104;20.6687;0.2542045;20.6687;83.50665;41.15203;4.72888;20.6687;0.2701721;20.6687;82.0557;40.9687;2.784124;20.6687;1.549484;20.6687;101.1192;51.23537;1712.369;20.6687;1.077506;20.6687;88.94232;40.88537;36.8568;20.65203;0.9923052;20.65203;87.62923;41.33537;43.81789;20.65203;1.39402;20.65203;89.45067;40.78537;65.19332
21.3187;0.2556499;21.3187;83.83526;51.05204;3.613174;21.3187;0.2539526;21.3187;83.70622;51.13537;4.226594;21.33537;0.2690406;21.33537;82.19507;50.95203;2.320733;21.33537;1.552225;21.33537;101.2655;61.23537;1558.851;21.33537;1.075002;21.33537;89.10515;50.8687;36.37814;21.35203;0.9918227;21.35203;87.81738;51.3187;44.20872;21.35203;1.395624;21.35203;89.634;50.7687;66.13187
30.6687;0.2553484;30.6687;83.71696;61.05204;3.819947;30.6687;0.2542858;30.6687;83.5836;61.13537;4.401638;30.6687;0.2733421;30.6687;82.02524;60.95203;2.276583;30.6687;1.552243;30.6687;101.1256;71.23537;1450.365;30.6687;1.077543;30.6687;89.15802;60.8687;37.24124;30.6687;0.9933745;30.6687;87.91834;61.3187;44.49981;30.65203;1.39407;30.65203;89.41259;60.7687;69.70351
31.3187;0.2565003;31.3187;83.77342;71.05203;3.703028;31.33537;0.2535044;31.33537;83.80769;71.15203;4.081399;31.33537;0.2679217;31.33537;82.22136;70.95203;3.182041;31.33537;1.55293;31.33537;101.302;81.23537;1592.63;31.35203;1.075339;31.35203;89.22832;70.8687;36.24662;31.35203;0.9919925;31.35203;88.09604;71.33537;44.86265;31.35203;1.395828;31.35203;89.52464;70.7687;71.46988
40.6687;0.2558385;40.6687;83.67504;81.05203;3.817962;40.6687;0.2542692;40.6687;83.66095;81.15203;3.753753;40.6687;0.272835;40.6687;82.02045;80.95203;3.001677;40.6687;1.54806;40.6687;101.1051;91.23537;1544.369;40.6687;1.078273;40.6687;89.17693;80.8687;36.60096;40.6687;0.9943142;40.6687;88.24739;81.33537;45.85101;40.6687;1.392615;40.6687;89.29635;80.7687;68.99448
41.3187;0.255818;41.3187;83.79311;91.05203;3.771059;41.33537;0.2538126;41.33537;83.75491;91.15203;3.873905;41.33537;0.2716212;41.33537;82.21009;90.95203;2.066644;41.33537;1.551368;41.33537;101.315;101.2354;1646.661;41.35204;1.077797;41.35204;89.34881;90.8687;36.79169;41.35204;0.9929794;41.35204;88.27832;91.33537;45.94764;41.35204;1.392658;41.35204;89.39722;90.78537;73.62153
50.65203;0.2560244;50.65203;83.65953;101.052;3.737793;50.65203;0.2539016;50.65203;83.58324;101.152;3.509505;50.65203;0.2695462;50.65203;82.0963;100.9687;3.867667;50.65203;1.548818;50.65203;101.2092;111.2354;1869.071;50.65203;1.077664;50.65203;89.23161;100.8687;36.5611;50.65203;0.9931444;50.65203;88.28497;101.3354;46.02197;50.65203;1.388076;50.65203;89.21513;100.7854;65.24148
51.30204;0.2570023;51.30204;83.80688;111.052;3.976555;51.3187;0.2544102;51.3187;83.75912;111.152;3.452125;51.3187;0.2728981;51.3187;82.19048;110.9687;40.89589;51.3187;1.548456;51.3187;101.2333;121.2354;2357.328;51.33537;1.078761;51.33537;89.37598;110.8687;37.0085;51.33537;0.9920824;51.33537;88.23849;111.3354;47.46515;51.33537;1.392276;51.33537;89.36176;110.7854;73.88334
60.65203;0.2553343;60.65203;83.71307;121.052;4.475148;60.65203;0.2547647;60.65203;83.62431;121.152;3.814245;60.65203;0.268058;60.65203;82.06738;120.9687;4.476161;60.65203;1.551029;60.65203;101.1925;131.252;1632.714;60.65203;1.077795;60.65203;89.18923;120.8687;37.22456;60.65203;0.9941534;60.65203;88.31183;121.3354;47.17405;60.65203;1.3899;60.65203;89.16541;120.7854;65.79234
61.30204;0.2560164;61.30204;83.81367;131.052;4.138308;61.3187;0.2551654;61.3187;83.7496;131.152;3.921838;61.3187;0.2711652;61.3187;82.17325;130.9687;6.001693;61.3187;1.55105;61.3187;101.2827;141.252;1646.763;61.33537;1.076665;61.33537;89.39449;130.8687;36.63092;61.33537;0.9935073;61.33537;88.25117;131.3354;47.26655;61.33537;1.386958;61.33537;89.31633;130.7854;70.44275
70.65203;0.255821;70.65203;83.63526;141.052;3.935294;70.65203;0.2541018;70.65203;83.65731;141.152;5.496443;70.65203;0.2723019;70.65203;82.04074;140.9687;3.291763;70.65203;1.548905;70.65203;101.1458;151.252;1492.391;70.65203;1.079364;70.65203;89.29337;140.8687;37.48898;70.65203;0.9926092;70.65203;88.4293;141.3354;46.96908;70.65203;1.386853;70.65203;89.11189;140.7854;73.84387
71.3187;0.2558166;71.3187;83.83204;151.0687;3.948188;71.3187;0.2536055;71.3187;83.80424;151.152;3.795884;71.3187;0.267807;71.3187;82.23648;150.9687;2.935117;71.33537;1.549599;71.33537;101.3395;161.2354;1503.887;71.33537;1.078025;71.33537;89.46091;150.8854;37.74485;71.33537;0.9952401;71.33537;88.59222;151.3354;49.09732;71.35204;1.388633;71.35204;89.2615;150.7854;70.51223
80.65203;0.2564275;80.65203;83.67982;161.052;3.685623;80.65203;0.2543793;80.65203;83.69166;161.1354;4.568683;80.65203;0.2700725;80.65203;82.1865;160.952;3.351627;80.65203;1.549944;80.65203;101.2009;171.2354;1930.756;80.65203;1.079526;80.65203;89.40629;160.8687;36.75499;80.65203;0.9957903;80.65203;88.6658;161.3187;49.19319;80.65203;1.384077;80.65203;89.09161;160.7687;68.58438
81.3187;0.2563081;81.3187;83.77676;171.052;4.554204;81.3187;0.2551596;81.3187;83.81802;171.1354;3.787396;81.3187;0.2691059;81.3187;82.26915;170.952;1.284207;81.33537;1.548542;81.33537;101.2722;181.2354;1682.703;81.33537;1.077503;81.33537;89.56657;170.8687;38.50778;81.33537;0.9947115;81.33537;88.74531;171.3187;48.98281;81.35204;1.384892;81.35204;89.21404;170.7687;68.69895
90.65203;0.2564349;90.65203;83.74527;181.052;4.115651;90.65203;0.2557838;90.65203;83.7063;181.152;3.601951;90.65203;0.2747683;90.65203;82.07895;180.952;2.961891;90.65203;1.553404;90.65203;101.1893;191.2354;1225.84;90.65203;1.078901;90.65203;89.51485;180.8687;37.33442;90.65203;0.9935669;90.65203;88.70814;181.3354;49.52689;90.65203;1.38545;90.65203;89.0514;180.7687;78.68604
91.3187;0.2556607;91.3187;83.73195;191.052;4.506972;91.3187;0.25455;91.3187;83.77832;191.152;3.949348;91.3187;0.2691536;91.3187;82.10564;190.952;3.4531;91.33537;1.556282;91.33537;101.2558;201.2354;2014.14;91.33537;1.078215;91.33537;89.51997;190.8687;37.20453;91.33537;0.9957796;91.33537;88.72521;191.3354;49.70208;91.35204;1.385201;91.35204;89.23308;190.7687;90.51495
100.652;0.2559261;100.652;83.67692;201.052;4.169634;100.652;0.2556617;100.652;83.66999;201.152;3.783967;100.652;0.2723794;100.652;81.95546;200.9687;6.266166;100.652;1.551231;100.652;101.1404;211.2354;2046.828;100.652;1.078874;100.652;89.52977;200.8687;37.29295;100.652;0.9918379;100.652;88.6384;201.3354;50.07467;100.652;1.387634;100.652;89.00299;200.7854;71.03348
101.3187;0.2562844;101.3187;83.76823;211.052;4.188679;101.3187;0.2547477;101.3187;83.7818;211.152;4.250244;101.3187;0.2701114;101.3187;81.91541;210.9687;4.514565;101.3354;1.548899;101.3354;101.2538;221.2354;2184.782;101.3354;1.079411;101.3354;89.52731;210.8687;37.40734;101.3354;0.9974791;101.3354;88.66569;211.3354;49.64496;101.352;1.390905;101.352;89.19591;210.7854;68.79115
110.6687;0.256182;110.6687;83.67471;221.052;4.065002;110.652;0.2539395;110.652;83.64184;221.152;5.854809;110.652;0.2692907;110.652;81.92407;220.9687;3.134697;110.652;1.552207;110.652;101.1865;231.2354;1472.82;110.652;1.080879;110.652;89.46679;220.8687;37.42666;110.652;0.9951053;110.652;88.67939;221.3354;48.67755;110.652;1.383322;110.652;89.04791;220.7854;75.79673
