Time for Cap.1 (min);Scattering for Cap.1 ;Time for Cap.1 (min);Cumulant Radius for Cap.1 (nm);Time for Cap.2 (min);Scattering for Cap.2 ;Time for Cap.2 (min);Cumulant Radius for Cap.2 (nm);Time for Cap.3 (min);Scattering for Cap.3 ;Time for Cap.3 (min);Cumulant Radius for Cap.3 (nm);Time for Cap.4 (min);Scattering for Cap.4 ;Time for Cap.4 (min);Cumulant Radius for Cap.4 (nm);Time for Cap.5 (min);Scattering for Cap.5 ;Time for Cap.5 (min);Cumulant Radius for Cap.5 (nm);Time for Cap.6 (min);Scattering for Cap.6 ;Time for Cap.6 (min);Cumulant Radius for Cap.6 (nm);Time for Cap.7 (min);Scattering for Cap.7 ;Time for Cap.7 (min);Cumulant Radius for Cap.7 (nm)
1.085369;1359912;1.085369;4.346314;1.185369;744418.4;1.185369;3.673358;1.002035;399234;1.002035;1.677651;1.268702;7.389057E+08;11.23537;817.168;0.9020354;7.60549E+08;0.9020354;36.58077;1.368702;5.354194E+08;1.368702;39.25304;0.818702;3.190823E+08;0.818702;56.05572
11.05204;1186686;11.05204;3.893841;11.15204;781970.4;11.15204;3.665611;10.9687;435367.2;10.9687;3.615411;11.23537;1.625293E+07;21.25204;671.4847;10.8687;7.428089E+08;10.8687;36.35812;11.33537;5.154799E+08;11.33537;40.2735;10.78537;1.788304E+08;10.78537;61.83691
21.05203;1136742;21.05203;3.707244;21.15203;904361.6;21.15203;4.456699;20.9687;456594.3;20.9687;6.072024;21.25204;3.801928E+07;31.25204;1086.81;20.8687;7.527635E+08;20.8687;37.71719;21.33537;5.279285E+08;21.33537;42.57549;20.78537;1.330099E+08;20.78537;62.60659
31.05203;1235286;31.05203;4.119967;31.15203;1027555;31.15203;5.134806;30.9687;413832.3;30.9687;3.87363;31.25204;3065468;41.25203;919.0446;30.88537;7.147024E+08;30.88537;36.38146;31.33537;5.222651E+08;31.33537;42.89833;30.78537;1.023401E+08;30.78537;63.02692
41.0687;1265167;41.0687;4.180104;41.15203;838565.7;41.15203;4.72888;40.9687;494189.5;40.9687;2.784124;41.25203;4.658749E+07;51.23537;1712.369;40.88537;7.450705E+08;40.88537;36.8568;41.33537;5.250451E+08;41.33537;43.81789;40.78537;1.012434E+08;40.78537;65.19332
51.05204;1097837;51.05204;3.613174;51.13537;813463.6;51.13537;4.226594;50.95203;471257.1;50.95203;2.320733;51.23537;4102755;61.23537;1558.851;50.8687;7.306045E+08;50.8687;36.37814;51.3187;5.31961E+08;51.3187;44.20872;50.7687;9.408049E+07;50.7687;66.13187
61.05204;1150059;61.05204;3.819947;61.13537;867294.4;61.13537;4.401638;60.95203;419527.9;60.95203;2.276583;61.23537;919197.4;71.23537;1450.365;60.8687;7.443446E+08;60.8687;37.24124;61.3187;5.223449E+08;61.3187;44.49981;60.7687;1.007212E+08;60.7687;69.70351
71.05203;1128035;71.05203;3.703028;71.15203;792569;71.15203;4.081399;70.95203;412509;70.95203;3.182041;71.23537;730355.6;81.23537;1592.63;70.8687;7.223727E+08;70.8687;36.24662;71.33537;5.130892E+08;71.33537;44.86265;70.7687;9.270694E+07;70.7687;71.46988
81.05203;1147153;81.05203;3.817962;81.15203;750000.8;81.15203;3.753753;80.95203;378927.5;80.95203;3.001677;81.23537;886971.8;91.23537;1544.369;80.8687;7.096729E+08;80.8687;36.60096;81.33537;5.206179E+08;81.33537;45.85101;80.7687;8.522565E+07;80.7687;68.99448
91.05203;1133102;91.05203;3.771059;91.15203;720745.6;91.15203;3.873905;90.95203;488536.8;90.95203;2.066644;91.23537;1069871;101.2354;1646.661;90.8687;7.164761E+08;90.8687;36.79169;91.33537;5.218433E+08;91.33537;45.94764;90.78537;8.961493E+07;90.78537;73.62153
101.052;1125491;101.052;3.737793;101.152;682330.1;101.152;3.509505;100.9687;392223;100.9687;3.867667;101.2354;802988.1;111.2354;1869.071;100.8687;7.136925E+08;100.8687;36.5611;101.3354;4.976569E+08;101.3354;46.02197;100.7854;7.350265E+07;100.7854;65.24148
111.052;1191943;111.052;3.976555;111.152;731889.6;111.152;3.452125;110.9687;1010006;110.9687;40.89589;111.2354;942463.9;121.2354;2357.328;110.8687;7.168639E+08;110.8687;37.0085;111.3354;4.902771E+08;111.3354;47.46515;110.7854;8.66176E+07;110.7854;73.88334
121.052;1309672;121.052;4.475148;121.152;719630.6;121.152;3.814245;120.9687;489585.5;120.9687;4.476161;121.2354;806810;131.252;1632.714;120.8687;7.423591E+08;120.8687;37.22456;121.3354;5.071755E+08;121.3354;47.17405;120.7854;7.483256E+07;120.7854;65.79234
131.052;1250505;131.052;4.138308;131.152;741742.1;131.152;3.921838;130.9687;428162;130.9687;6.001693;131.252;740639.1;141.252;1646.763;130.8687;7.308743E+08;130.8687;36.63092;131.3354;4.934148E+08;131.3354;47.26655;130.7854;7.833076E+07;130.7854;70.44275
141.052;1171797;141.052;3.935294;141.152;889291;141.152;5.496443;140.9687;403992.8;140.9687;3.291763;141.252;841569;151.252;1492.391;140.8687;7.384783E+08;140.8687;37.48898;141.3354;4.821485E+08;141.3354;46.96908;140.7854;9.173096E+07;140.7854;73.84387
151.0687;1172756;151.0687;3.948188;151.152;748796;151.152;3.795884;150.9687;475420.1;150.9687;2.935117;151.252;753834.8;161.2354;1503.887;150.8854;7.415929E+08;150.8854;37.74485;151.3354;5.223554E+08;151.3354;49.09732;150.7854;7.475499E+07;150.7854;70.51223
161.052;1117182;161.052;3.685623;161.1354;857388;161.1354;4.568683;160.952;457401.9;160.952;3.351627;161.2354;876086.8;171.2354;1930.756;160.8687;7.197068E+08;160.8687;36.75499;161.3187;5.041988E+08;161.3187;49.19319;160.7687;7.316051E+07;160.7687;68.58438
171.052;1323540;171.052;4.554204;171.1354;716492.9;171.1354;3.787396;170.952;460594;170.952;1.284207;171.2354;961177.6;181.2354;1682.703;170.8687;7.388945E+08;170.8687;38.50778;171.3187;4.908595E+08;171.3187;48.98281;170.7687;7.440477E+07;170.7687;68.69895
181.052;1195717;181.052;4.115651;181.152;702987.1;181.152;3.601951;180.952;374608.7;180.952;2.961891;181.2354;896595.6;191.2354;1225.84;180.8687;7.243333E+08;180.8687;37.33442;181.3354;4.990944E+08;181.3354;49.52689;180.7687;9.610385E+07;180.7687;78.68604
191.052;1329847;191.052;4.506972;191.152;735496.4;191.152;3.949348;190.952;429343.5;190.952;3.4531;191.2354;6986791;201.2354;2014.14;190.8687;7.150124E+08;190.8687;37.20453;191.3354;4.87139E+08;191.3354;49.70208;190.7687;1.170986E+08;190.7687;90.51495
201.052;1209144;201.052;4.169634;201.152;773265.8;201.152;3.783967;200.9687;535639.9;200.9687;6.266166;201.2354;846291.9;211.2354;2046.828;200.8687;7.202223E+08;200.8687;37.29295;201.3354;4.965672E+08;201.3354;50.07467;200.7854;7.643031E+07;200.7854;71.03348
211.052;1211908;211.052;4.188679;211.152;782516;211.152;4.250244;210.9687;439695.3;210.9687;4.514565;211.2354;1075353;221.2354;2184.782;210.8687;7.342857E+08;210.8687;37.40734;211.3354;4.871602E+08;211.3354;49.64496;210.7854;7.726071E+07;210.7854;68.79115
221.052;1206128;221.052;4.065002;221.152;952373.7;221.152;5.854809;220.9687;446575.3;220.9687;3.134697;221.2354;962110.9;231.2354;1472.82;220.8687;7.360943E+08;220.8687;37.42666;221.3354;4.826543E+08;221.3354;48.67755;220.7854;8.346968E+07;220.7854;75.79673
231.052;4116393;231.052;357.112;231.152;725852.3;231.152;3.78123;230.9687;374316;230.9687;3.971309;231.2354;1110111;241.252;1816.84;230.8687;7.251353E+08;230.8687;37.96255;231.3354;4.835258E+08;231.3354;49.81195;230.7854;8.677451E+07;230.7854;78.7318
