Time for Cap.1 (min);Ratio 350 nm / 330 nm for Cap.1 ;Time for Cap.1 (min);350 nm for Cap.1 ;Time for Cap.1 (min);330 nm for Cap.1 ;Time for Cap.2 (min);Ratio 350 nm / 330 nm for Cap.2 ;Time for Cap.2 (min);350 nm for Cap.2 ;Time for Cap.2 (min);330 nm for Cap.2 ;Time for Cap.3 (min);Ratio 350 nm / 330 nm for Cap.3 ;Time for Cap.3 (min);350 nm for Cap.3 ;Time for Cap.3 (min);330 nm for Cap.3 ;Time for Cap.4 (min);Ratio 350 nm / 330 nm for Cap.4 ;Time for Cap.4 (min);350 nm for Cap.4 ;Time for Cap.4 (min);330 nm for Cap.4 ;Time for Cap.5 (min);Ratio 350 nm / 330 nm for Cap.5 ;Time for Cap.5 (min);350 nm for Cap.5 ;Time for Cap.5 (min);330 nm for Cap.5 ;Time for Cap.6 (min);Ratio 350 nm / 330 nm for Cap.6 ;Time for Cap.6 (min);350 nm for Cap.6 ;Time for Cap.6 (min);330 nm for Cap.6 ;Time for Cap.7 (min);Ratio 350 nm / 330 nm for Cap.7 ;Time for Cap.7 (min);350 nm for Cap.7 ;Time for Cap.7 (min);330 nm for Cap.7 
0.7020353;0.2553323;0.7020353;895.59;0.7020353;3507.548;0.6853687;0.2535243;0.6853687;458.055;0.6853687;1806.75;0.6853687;0.2715099;0.6853687;97.6275;0.6853687;359.5725;0.6853687;1.549062;0.6853687;5056.357;0.6853687;3264.143;0.6853687;1.074167;0.6853687;4362.435;0.6853687;4061.228;0.6853687;0.9852474;0.6853687;3277.282;0.6853687;3326.355;0.6853687;1.400014;0.6853687;3142.282;0.6853687;2244.465
1.352035;0.2563775;1.352035;899.0775;1.352035;3506.85;1.352035;0.2537854;1.352035;457.4475;1.352035;1802.498;1.368702;0.2693439;1.368702;96.885;1.368702;359.7075;1.368702;1.547244;1.368702;5099.895;1.368702;3296.115;1.368702;1.075646;1.368702;4368.105;1.368702;4060.913;1.385369;0.9849044;1.385369;3278.048;1.385369;3328.29;1.385369;1.400793;1.385369;3141.225;1.385369;2242.462
10.6687;0.2560814;10.6687;898.425;10.6687;3508.357;10.6687;0.2535368;10.6687;456.8625;10.6687;1801.958;10.6687;0.2698254;10.6687;96.9975;10.6687;359.4825;10.65204;1.552147;10.65204;5388.525;10.65204;3471.66;10.65204;1.074996;10.65204;4402.688;10.65204;4095.54;10.65204;0.9868683;10.65204;3314.183;10.65204;3358.282;10.65204;1.398656;10.65204;3105.405;10.65204;2220.278
11.3187;0.2558803;11.3187;898.3125;11.3187;3510.675;11.3187;0.2529595;11.3187;455.7825;11.3187;1801.8;11.33537;0.2702821;11.33537;97.4475;11.33537;360.54;11.33537;1.550831;11.33537;5404.928;11.33537;3485.183;11.33537;1.075118;11.33537;4402.8;11.33537;4095.18;11.35204;0.9883136;11.35204;3312.788;11.35204;3351.96;11.35204;1.39986;11.35204;3105.18;11.35204;2218.208
20.6687;0.2551705;20.6687;897.21;20.6687;3516.12;20.6687;0.2542045;20.6687;458.4375;20.6687;1803.42;20.6687;0.2701721;20.6687;97.11;20.6687;359.4375;20.6687;1.549484;20.6687;5497.47;20.6687;3547.935;20.6687;1.077506;20.6687;4426.132;20.6687;4107.757;20.65203;0.9923052;20.65203;3339.675;20.65203;3365.573;20.65203;1.39402;20.65203;3072.78;20.65203;2204.258
21.3187;0.2556499;21.3187;898.47;21.3187;3514.455;21.3187;0.2539526;21.3187;457.5375;21.3187;1801.665;21.33537;0.2690406;21.33537;96.7275;21.33537;359.5275;21.33537;1.552225;21.33537;5505.413;21.33537;3546.788;21.33537;1.075002;21.33537;4421.385;21.33537;4112.91;21.35203;0.9918227;21.35203;3337.583;21.35203;3365.1;21.35203;1.395624;21.35203;3067.177;21.35203;2197.71
30.6687;0.2553484;30.6687;897.5025;30.6687;3514.815;30.6687;0.2542858;30.6687;458.235;30.6687;1802.047;30.6687;0.2733421;30.6687;98.2125;30.6687;359.3025;30.6687;1.552243;30.6687;5556.78;30.6687;3579.84;30.6687;1.077543;30.6687;4445.438;30.6687;4125.533;30.6687;0.9933745;30.6687;3353.242;30.6687;3375.607;30.65203;1.39407;30.65203;3046.478;30.65203;2185.313
31.3187;0.2565003;31.3187;898.7175;31.3187;3503.768;31.33537;0.2535044;31.33537;456.9525;31.33537;1802.542;31.33537;0.2679217;31.33537;96.705;31.33537;360.945;31.33537;1.55293;31.33537;5566.928;31.33537;3584.79;31.35203;1.075339;31.35203;4433.467;31.35203;4122.855;31.35203;0.9919925;31.35203;3350.43;31.35203;3377.475;31.35203;1.395828;31.35203;3044.385;31.35203;2181.06
40.6687;0.2558385;40.6687;898.1775;40.6687;3510.72;40.6687;0.2542692;40.6687;458.3025;40.6687;1802.43;40.6687;0.272835;40.6687;98.46;40.6687;360.8775;40.6687;1.54806;40.6687;5572.913;40.6687;3599.933;40.6687;1.078273;40.6687;4453.11;40.6687;4129.853;40.6687;0.9943142;40.6687;3360.24;40.6687;3379.455;40.6687;1.392615;40.6687;3025.125;40.6687;2172.262
41.3187;0.255818;41.3187;896.58;41.3187;3504.758;41.33537;0.2538126;41.33537;457.2225;41.33537;1801.417;41.33537;0.2716212;41.33537;97.4475;41.33537;358.7625;41.33537;1.551368;41.33537;5580.248;41.33537;3596.985;41.35204;1.077797;41.35204;4449.397;41.35204;4128.232;41.35204;0.9929794;41.35204;3363.75;41.35204;3387.532;41.35204;1.392658;41.35204;3024.248;41.35204;2171.565
